,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,Type,chevrolet,nevs,nissan,peugeot,toyota,volkswagen,volvo,Sedan0,japan,usa,MediumHP,HighHP
0,18.0,8.0,307.0,130.0,3504.0,12.0,70.0,usa,chevrolet,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
1,14.0,8.0,454.0,220.0,4354.0,9.0,70.0,usa,chevrolet,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
2,15.0,8.0,400.0,150.0,3761.0,9.5,70.0,usa,chevrolet,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
3,24.0,4.0,113.0,95.0,2372.0,15.0,70.0,japan,toyota,Coupe,0,0,0,0,1,0,0,1,1,0,1,0
4,26.0,4.0,12.0,46.0,1835.0,20.5,70.0,europe,volkswagen,Coupe,0,0,0,0,0,1,0,1,0,0,0,0
5,25.0,4.0,110.0,87.0,2672.0,15.8,70.0,europe,peugeot,Sedan,0,0,0,1,0,0,0,0,0,0,1,0
6,24.0,4.0,107.0,90.0,2430.0,14.5,70.0,europe,audi,Coupe,0,0,0,0,0,0,0,1,0,0,1,0
7,25.0,4.0,104.0,95.0,2375.0,17.5,70.0,europe,nevs,Coupe,0,1,0,0,0,0,0,1,0,0,1,0
8,28.0,4.0,140.0,90.0,2264.0,15.5,71.0,usa,chevrolet,Coupe,1,0,0,0,0,0,0,1,0,1,1,0
9,25.0,4.0,113.0,95.0,22280.0,14.0,71.0,japan,toyota,Sedan,0,0,0,0,1,0,0,0,1,0,1,0
10,17.0,6.0,250.0,100.0,3329.0,15.5,71.0,usa,chevrolet,Sedan,1,0,0,0,0,0,0,0,0,1,1,0
11,14.0,8.0,350.0,165.0,4209.0,12.0,71.0,usa,chevrolet,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
12,22.0,4.0,134.0,72.0,2408.0,19.0,71.0,usa,chevrolet,Coupe,1,0,0,0,0,0,0,1,0,1,0,0
13,30.0,4.0,134.0,70.0,2074.0,19.5,71.0,europe,peugeot,Coupe,0,0,0,1,0,0,0,1,0,0,0,0
14,27.0,4.0,134.0,60.0,1834.0,19.0,71.0,europe,volkswagen,Coupe,0,0,0,0,0,1,0,1,0,0,0,0
15,24.0,4.0,113.0,95.0,2278.0,15.5,72.0,japan,toyota,Coupe,0,0,0,0,1,0,0,1,1,0,1,0
16,23.0,4.0,97.0,250.0,2254.0,23.5,72.0,europe,volkswagen,Coupe,0,0,0,0,0,1,0,1,0,0,0,1
17,20.0,4.0,140.0,90.0,2408.0,19.5,72.0,usa,chevrolet,Coupe,1,0,0,0,0,0,0,1,0,1,1,0
18,13.0,8.0,350.0,165.0,4274.0,12.0,72.0,usa,chevrolet,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
19,13.0,8.0,307.0,130.0,4098.0,14.0,72.0,usa,chevrolet,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
20,18.0,4.0,121.0,112.0,2933.0,14.5,72.0,europe,volvo,Sedan,0,0,0,0,0,0,1,0,0,0,1,0
21,21.0,4.0,120.0,87.0,2979.0,19.5,72.0,europe,peugeot,Sedan,0,0,0,1,0,0,0,0,0,0,1,0
22,23.0,4.0,120.0,97.0,2506.0,14.5,72.0,japan,toyota,Sedan,0,0,0,0,1,0,0,0,1,0,1,0
23,27.0,4.0,97.0,88.0,2100.0,16.5,72.0,japan,toyota,Coupe,0,0,0,0,1,0,0,1,1,0,1,0
24,13.0,8.0,350.0,145.0,3988.0,13.0,73.0,usa,chevrolet,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
25,13.0,8.0,400.0,150.0,4464.0,12.0,73.0,usa,chevrolet,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
